user_id,movie_id,rating,time_stamp
0,431,3.0,1652547600
0,467,2.0,1654362000
0,677,3.0,1646845200
1,467,2.0,1660410000
1,628,4.0,1642870800
1,596,1.0,1651338000
1,137,2.0,1654362000
1,549,3.0,1651510800
1,321,5.0,1660842000
1,446,4.0,1643821200
1,668,5.0,1655312400
1,864,5.0,1647882000
2,862,2.0,1659200400
2,244,1.0,1642352400
2,508,3.0,1667754000
2,673,1.0,1664557200
2,946,1.0,1647536400
2,393,5.0,1657472400
2,934,5.0,1647536400
2,115,1.0,1660496400
2,170,2.0,1656349200
2,443,4.0,1660669200
3,251,3.0,1647277200
3,632,5.0,1648832400
3,885,1.0,1652720400
4,466,3.0,1648227600
4,676,2.0,1648746000
4,491,3.0,1655398800
4,445,2.0,1641142800
4,557,1.0,1655571600
4,918,3.0,1651683600
5,81,3.0,1660755600
5,414,5.0,1647968400
5,399,4.0,1651597200
5,753,5.0,1652979600
5,532,4.0,1667581200
5,511,1.0,1648314000
5,501,4.0,1658682000
5,139,4.0,1664902800
5,598,3.0,1664730000
5,397,4.0,1648227600
6,572,4.0,1645290000
6,991,4.0,1642525200
6,892,1.0,1660323600
6,548,1.0,1643130000
6,358,1.0,1647622800
6,111,5.0,1661014800
6,853,4.0,1647104400
6,469,4.0,1663088400
6,944,4.0,1656090000
6,743,3.0,1661187600
7,433,3.0,1669654800
7,532,5.0,1647709200
7,757,2.0,1655226000
7,633,1.0,1649610000
7,658,5.0,1666371600
7,849,4.0,1642006800
7,826,1.0,1654016400
8,445,2.0,1653757200
8,910,1.0,1642957200
8,611,5.0,1645635600
8,836,3.0,1648141200
8,686,4.0,1647190800
9,369,5.0,1658682000
9,941,2.0,1656435600
9,186,1.0,1667062800
10,199,4.0,1650128400
10,98,3.0,1661446800
10,883,5.0,1659632400
10,458,5.0,1650128400
10,272,5.0,1657040400
10,118,1.0,1650214800
10,434,5.0,1659027600
10,895,4.0,1669741200
10,204,1.0,1659632400
10,816,1.0,1643389200
11,356,3.0,1656867600
11,467,4.0,1649523600
11,643,3.0,1661533200
11,711,3.0,1663347600
11,511,5.0,1652547600
11,414,4.0,1669222800
11,349,3.0,1653152400
11,494,4.0,1662051600
12,601,4.0,1644598800
12,706,5.0,1657126800
12,820,4.0,1648400400
12,987,5.0,1659286800
13,737,5.0,1643821200
13,609,3.0,1641661200
13,605,3.0,1669741200
13,329,1.0,1658509200
13,624,3.0,1653411600
13,620,2.0,1651597200
14,172,3.0,1645117200
14,569,1.0,1650646800
14,583,1.0,1659546000
14,196,5.0,1666198800
14,449,5.0,1641661200
14,401,2.0,1655917200
14,868,5.0,1649350800
14,535,5.0,1655398800
15,891,1.0,1666544400
15,51,1.0,1665939600
15,374,4.0,1655312400
16,615,2.0,1647882000
16,120,5.0,1656176400
16,168,1.0,1664643600
16,523,3.0,1644858000
16,406,4.0,1666458000
16,902,3.0,1643562000
16,149,4.0,1661792400
16,624,4.0,1660496400
16,618,2.0,1656608400
17,843,4.0,1656090000
17,978,5.0,1663606800
17,469,4.0,1649523600
17,99,4.0,1669309200
17,156,1.0,1649178000
18,655,2.0,1666112400
18,439,3.0,1665680400
18,385,1.0,1667667600
18,53,2.0,1654707600
18,979,2.0,1643130000
18,593,2.0,1645376400
18,651,5.0,1656867600
18,856,2.0,1654275600
19,970,1.0,1658422800
19,612,4.0,1644339600
19,353,2.0,1662656400
19,166,2.0,1658854800
19,828,4.0,1655485200
19,899,1.0,1648573200
19,853,2.0,1666630800
19,723,4.0,1647709200
19,525,4.0,1645117200
