user_id,movie_id,rating,time_stamp
0,107,3.0,1652547600
0,116,2.0,1654362000
0,169,3.0,1646845200
1,116,2.0,1660410000
1,157,4.0,1642870800
1,149,1.0,1651338000
1,34,2.0,1654362000
1,137,3.0,1651510800
1,80,5.0,1660842000
1,111,4.0,1643821200
1,167,5.0,1655312400
1,128,2.0,1650819600
2,105,2.0,1642525200
2,8,4.0,1654275600
2,155,1.0,1664557200
2,20,2.0,1657904400
2,145,3.0,1667494800
2,38,1.0,1645203600
2,113,2.0,1649350800
2,89,4.0,1659286800
2,114,2.0,1653066000
2,36,5.0,1664038800
3,45,1.0,1652720400
3,116,3.0,1648227600
3,169,2.0,1648746000
4,122,3.0,1655398800
4,111,2.0,1641142800
4,139,1.0,1655571600
4,81,2.0,1644426000
4,67,4.0,1658854800
4,149,2.0,1658163600
5,126,2.0,1664125200
5,69,5.0,1662310800
5,154,4.0,1643734800
5,42,4.0,1661360400
5,102,2.0,1659546000
5,138,5.0,1656349200
5,137,4.0,1662570000
5,179,2.0,1665680400
5,112,1.0,1659286800
5,9,1.0,1660323600
6,137,1.0,1643130000
6,89,1.0,1647622800
6,27,5.0,1661014800
6,124,2.0,1661187600
6,111,5.0,1660669200
6,87,3.0,1661187600
6,108,3.0,1669654800
6,133,5.0,1647709200
6,189,2.0,1655226000
6,158,1.0,1649610000
7,164,5.0,1666371600
7,160,4.0,1642006800
7,29,3.0,1660150800
7,63,3.0,1644858000
7,11,5.0,1665248400
7,196,1.0,1653584400
7,41,4.0,1647190800
8,92,5.0,1658682000
8,49,3.0,1649005200
8,20,5.0,1649523600
8,109,2.0,1645203600
8,175,3.0,1661446800
9,190,5.0,1659632400
9,114,5.0,1650128400
9,68,5.0,1657040400
10,29,1.0,1650214800
10,108,5.0,1659027600
10,97,2.0,1643994000
10,197,4.0,1644858000
10,14,3.0,1652202000
10,92,4.0,1659718800
10,194,2.0,1668704400
10,191,3.0,1661533200
10,177,3.0,1663347600
10,127,5.0,1652547600
11,103,4.0,1669222800
11,87,3.0,1653152400
11,123,4.0,1662051600
11,150,4.0,1644598800
11,176,5.0,1657126800
11,184,4.0,1648400400
11,154,4.0,1665853200
11,16,5.0,1654448400
12,4,5.0,1655398800
12,166,3.0,1644166800
12,189,4.0,1667926800
12,95,3.0,1667754000
13,47,2.0,1648400400
13,78,1.0,1665507600
13,13,2.0,1666112400
13,190,1.0,1659546000
13,49,5.0,1666198800
13,112,5.0,1641661200
14,100,2.0,1655917200
14,147,2.0,1664038800
14,144,3.0,1643043600
14,168,5.0,1643130000
14,9,5.0,1657126800
14,101,3.0,1667494800
14,163,2.0,1647882000
14,30,5.0,1656176400
15,42,1.0,1664643600
15,130,3.0,1644858000
15,101,4.0,1666458000
16,89,1.0,1647363600
16,113,4.0,1667926800
16,115,4.0,1667667600
16,44,3.0,1659632400
16,87,5.0,1663606800
16,117,4.0,1649523600
16,24,4.0,1669309200
16,39,1.0,1649178000
16,163,2.0,1666112400
17,109,3.0,1665680400
17,96,1.0,1667667600
17,13,2.0,1654707600
17,57,1.0,1666544400
17,45,1.0,1669050000
18,144,3.0,1649178000
18,77,1.0,1658422800
18,153,4.0,1644339600
18,88,2.0,1662656400
18,41,2.0,1658854800
18,192,4.0,1655485200
18,9,2.0,1648746000
18,148,4.0,1647709200
19,131,4.0,1645117200
19,101,1.0,1651338000
19,27,4.0,1669222800
19,79,3.0,1664557200
19,166,1.0,1656176400
19,133,5.0,1661965200
19,155,2.0,1664470800
19,74,1.0,1647882000
19,173,4.0,1651078800
