1,432,1653498000
1,847,1652547600
1,468,1648659600
2,703,1654362000
2,678,1656954000
2,137,1661101200
2,787,1651510800
2,993,1660410000
2,629,1657558800
2,46,1666717200
2,5,1651338000
2,138,1649523600
3,964,1654362000
3,550,1657126800
3,791,1651510800
3,322,1665248400
3,462,1660237200
3,482,1643821200
3,669,1666803600
3,333,1663088400
3,161,1650819600
3,994,1659200400
4,245,1642525200
4,33,1662915600
4,309,1667754000
5,674,1644080400
5,547,1644512400
5,154,1657904400
5,581,1657472400
5,935,1667494800
5,154,1645894800
6,987,1645203600
6,453,1648314000
6,827,1649350800
6,971,1656349200
6,444,1659286800
6,457,1651770000
6,698,1653066000
6,147,1668272400
6,535,1648832400
6,886,1646240400
7,274,1661101200
7,310,1648227600
7,677,1669654800
7,966,1648659600
7,797,1648746000
7,492,1656262800
7,336,1660150800
7,230,1641142800
7,558,1642870800
7,340,1655053200
8,249,1644426000
8,269,1660755600
8,415,1666717200
8,163,1658163600
8,943,1662829200
8,690,1651597200
8,754,1664125200
9,933,1652979600
9,533,1662310800
9,617,1663002000
9,65,1648314000
9,502,1661360400
10,920,1658682000
10,140,1659546000
10,555,1666803600
11,358,1664730000
11,398,1662570000
11,719,1648227600
11,573,1660410000
11,102,1659286800
11,849,1642525200
11,893,1641056400
11,450,1664643600
11,67,1643130000
11,359,1645030800
12,156,1645722000
12,623,1661014800
12,854,1662397200
12,143,1661187600
12,883,1660237200
12,794,1663088400
12,945,1660669200
12,352,1652374800
13,920,1661187600
13,434,1655485200
13,666,1663952400
13,932,1664038800
14,158,1651424400
14,331,1668272400
14,34,1649610000
14,659,1666976400
14,590,1668704400
14,491,1642006800
15,827,1646067600
15,986,1654016400
15,446,1651856400
15,736,1653757200
15,911,1644858000
15,48,1667322000
15,936,1665248400
15,786,1645635600
16,837,1653584400
16,167,1662051600
16,145,1656867600
17,610,1658682000
17,942,1649437200
17,359,1649005200
17,82,1667062800
17,200,1659805200
17,213,1645203600
17,701,1654534800
17,909,1661446800
17,884,1664038800
18,740,1659632400
18,459,1665507600
18,214,1652720400
18,612,1657040400
18,119,1668704400
19,802,1668704400
19,8,1650214800
19,435,1667926800
19,419,1657818000
19,893,1669741200
19,205,1643994000
19,791,1659632400
19,817,1644858000
20,844,1643389200
20,357,1652202000
20,369,1661101200
20,435,1649523600
20,644,1653411600
20,478,1653930000
20,519,1663002000
20,520,1652547600
20,415,1660496400
