user_id,video_id,time_stamp
1,215,1653498000
0,134,1661101200
0,89,1654362000
2,185,1646845200
1,233,1651510800
1,225,1668099600
1,192,1642870800
1,2,1651338000
1,68,1649523600
1,155,1664643600
1,187,1651510800
1,160,1665248400
3,230,1660237200
2,240,1643821200
2,166,1663088400
2,80,1650819600
2,211,1651510800
2,18,1642352400
2,254,1654275600
2,36,1664557200
2,41,1647536400
2,196,1666026000
4,191,1667494800
3,76,1645894800
3,49,1660496400
5,85,1649350800
4,178,1660064400
4,212,1660669200
4,125,1653066000
4,73,1668272400
4,267,1648832400
6,61,1652720400
5,233,1654275600
5,84,1669654800
5,89,1648746000
5,245,1656262800
5,167,1660150800
5,114,1641142800
5,278,1642870800
5,169,1655053200
5,124,1644426000
7,134,1660755600
6,207,1666717200
6,81,1658163600
6,253,1651597200
6,268,1652979600
6,266,1662310800
6,255,1643734800
6,85,1662570000
6,236,1658682000
6,69,1659546000
8,277,1666803600
7,178,1664730000
7,198,1662570000
7,84,1665680400
7,225,1645290000
7,212,1642525200
7,1,1660323600
9,274,1643821200
8,25,1656435600
8,47,1647622800
8,55,1667840400
8,232,1662397200
10,71,1661187600
9,223,1663088400
9,228,1656090000
11,132,1661187600
10,216,1655485200
10,266,1664038800
10,78,1651424400
10,165,1668272400
10,16,1649610000
10,245,1642006800
10,59,1654016400
10,222,1651856400
10,148,1644858000
12,23,1667322000
11,281,1645635600
11,146,1648141200
11,244,1647190800
11,184,1667235600
11,205,1649437200
11,179,1649005200
11,40,1667062800
13,99,1659805200
12,106,1645203600
12,157,1661446800
12,267,1659632400
14,229,1665507600
13,106,1652720400
13,186,1646067600
13,3,1650214800
13,217,1667926800
13,209,1657818000
15,102,1643994000
14,216,1644858000
14,28,1656349200
14,130,1656867600
14,233,1659718800
14,99,1668704400
14,144,1661533200
14,150,1663347600
16,255,1663347600
15,134,1658854800
15,226,1669222800
17,174,1656349200
16,141,1662310800
16,228,1662051600
16,245,1644598800
16,276,1657126800
16,207,1648400400
16,212,1665853200
16,33,1667235600
16,156,1641661200
18,167,1669741200
17,164,1644166800
17,203,1667926800
17,191,1653411600
17,95,1651597200
19,86,1654534800
18,48,1665507600
18,27,1650646800
18,37,1659546000
18,98,1666112400
18,224,1667149200
18,8,1658250000
18,103,1655917200
20,97,1664038800
19,167,1643043600
19,25,1642525200
19,187,1658509200
19,166,1667494800
19,87,1647882000
19,60,1667754000
19,176,1648227600
19,15,1664643600
